title,genres,weightedAverage
Adaptation,Comedy|Drama|Romance,4.15
Three Colors: White,Comedy|Drama,4.15
Wallace & Gromit: The Best of Aardman Animation,Adventure|Animation|Comedy,4.15
My Fair Lady,Comedy|Drama|Musical|Romance,4.14
This Is Spinal Tap,Comedy,4.14
Network,Comedy|Drama,4.14
"Odd Couple, The",Comedy,4.13
"Producers, The",Comedy,4.12
Dr. Horrible's Sing-Along Blog,Comedy|Drama|Musical|Sci-Fi,4.12
Fear and Loathing in Las Vegas,Adventure|Comedy|Drama,4.11
Tucker & Dale vs Evil,Comedy|Horror,4.11
Kingsman: The Secret Service,Action|Adventure|Comedy|Crime,4.11
"Big Lebowski, The",Comedy|Crime,4.1
Dazed and Confused,Comedy,4.1
Drunken Master,Action|Comedy,4.1
Arsenic and Old Lace,Comedy|Mystery|Thriller,4.1
"Crazy, Stupid, Love.",Comedy|Drama|Romance,4.1
Blazing Saddles,Comedy|Western,4.1
Little Miss Sunshine,Adventure|Comedy|Drama,4.09
Young Frankenstein,Comedy|Fantasy,4.09
Down by Law,Comedy|Drama|Film-Noir,4.09
Monty Python's Life of Brian,Comedy,4.09
Raising Arizona,Comedy,4.09
"Sting, The",Comedy|Crime,4.09
Saving Grace,Comedy,4.09
Clerks II,Comedy,4.08
Being John Malkovich,Comedy|Drama|Fantasy,4.08
Hannah and Her Sisters,Comedy|Drama|Romance,4.08
Love Actually,Comedy|Drama|Romance,4.08
"Blind Swordsman: Zatoichi, The",Action|Comedy|Crime|Drama,4.08
Tangled,Animation|Children|Comedy|Fantasy|Musical|Romance|IMAX,4.08
"Christmas Story, A",Children|Comedy,4.07
Zero Effect,Comedy|Mystery|Thriller,4.07
Superbad,Comedy,4.07
Groundhog Day,Comedy|Fantasy|Romance,4.07
Zootopia,Action|Adventure|Animation|Children|Comedy,4.06
Crimes and Misdemeanors,Comedy|Crime|Drama,4.06
Monsters University,Adventure|Animation|Comedy,4.06
The Lego Movie,Action|Adventure|Animation|Children|Comedy|Fantasy,4.06
American Splendor,Comedy|Drama,4.06
Shaolin Soccer,Action|Comedy,4.06
When Harry Met Sally...,Comedy|Romance,4.06
"Wolf of Wall Street, The",Comedy|Crime|Drama,4.06
Zombieland,Action|Comedy|Horror,4.06
Go,Comedy|Crime,4.05
Say Anything...,Comedy|Drama|Romance,4.05
"Monsters, Inc.",Adventure|Animation|Children|Comedy|Fantasy,4.05
Being There,Comedy|Drama,4.05
Big Hero 6,Action|Animation|Comedy,4.05
Mean Girls,Comedy,4.05
21 Jump Street,Action|Comedy|Crime,4.04
"Apartment, The",Comedy|Drama|Romance,4.04
"Incredibles, The",Action|Adventure|Animation|Children|Comedy,4.04
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,4.03
"Truman Show, The",Comedy|Drama|Sci-Fi,4.03
Juno,Comedy|Drama|Romance,4.03
"African Queen, The",Adventure|Comedy|Romance|War,4.03
Toy Story,Adventure|Animation|Children|Comedy|Fantasy,4.03
"Fish Called Wanda, A",Comedy|Crime,4.03
American Graffiti,Comedy|Drama,4.02
Anchorman: The Legend of Ron Burgundy,Comedy,4.02
Ferris Bueller's Day Off,Comedy,4.02
Deadpool,Action|Adventure|Comedy|Sci-Fi,4.02
Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,4.01
Mary Poppins,Children|Comedy|Fantasy|Musical,4.01
"South Park: Bigger, Longer and Uncut",Animation|Comedy|Musical,4.01
Beautiful Girls,Comedy|Drama|Romance,4.0
Sherlock Holmes: A Game of Shadows,Action|Adventure|Comedy|Crime|Mystery|Thriller,4.0
Futurama: Bender's Big Score,Animation|Comedy|Sci-Fi,4.0
Saved!,Comedy|Drama,4.0
State and Main,Comedy|Drama,4.0
"Planes, Trains & Automobiles",Comedy,4.0
Inside Out,Adventure|Animation|Children|Comedy|Drama|Fantasy,4.0
City Lights,Comedy|Drama|Romance,4.0
Rosencrantz and Guildenstern Are Dead,Comedy|Drama,4.0
Eat Drink Man Woman,Comedy|Drama|Romance,4.0
Moonrise Kingdom,Comedy|Drama|Romance,4.0
Deadpool 2,Action|Comedy|Sci-Fi,4.0
Big Trouble in Little China,Action|Adventure|Comedy|Fantasy,4.0
Wallace & Gromit: A Close Shave,Animation|Children|Comedy,4.0
"Good bye, Lenin!",Comedy|Drama,4.0
"Importance of Being Earnest, The",Comedy|Drama|Romance,4.0
M*A*S*H,Comedy|Drama|War,3.98
Clerks,Comedy,3.98
Annie Hall,Comedy|Romance,3.98
"Player, The",Comedy|Crime|Drama,3.97
Silver Linings Playbook,Comedy|Drama,3.97
Emma,Comedy|Drama|Romance,3.97
Willy Wonka & the Chocolate Factory,Children|Comedy|Fantasy|Musical,3.97
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Comedy|Fantasy,3.97
Out of Sight,Comedy|Crime|Drama|Romance|Thriller,3.97
Airplane!,Comedy,3.97
Easy A,Comedy|Romance,3.96
Waiting for Guffman,Comedy,3.96
Bottle Rocket,Adventure|Comedy|Crime|Romance,3.96
Garden State,Comedy|Drama|Romance,3.96
"O Brother, Where Art Thou?",Adventure|Comedy|Crime,3.95
We're the Millers,Comedy|Crime,3.95
Wreck-It Ralph,Animation|Comedy,3.95
Delicatessen,Comedy|Drama|Romance,3.95
Matchstick Men,Comedy|Crime|Drama,3.94
Enchanted,Adventure|Animation|Children|Comedy|Fantasy|Musical|Romance,3.94
Idiocracy,Adventure|Comedy|Sci-Fi|Thriller,3.94
Chicago,Comedy|Crime|Drama|Musical,3.94
"Grand Budapest Hotel, The",Comedy|Drama,3.94
"Good Morning, Vietnam",Comedy|Drama|War,3.93
"Blues Brothers, The",Action|Comedy|Musical,3.93
"Gods Must Be Crazy, The",Adventure|Comedy,3.93
Stranger than Fiction,Comedy|Drama|Fantasy|Romance,3.93
"Commitments, The",Comedy|Drama|Musical,3.93
About a Boy,Comedy|Drama|Romance,3.93
Gosford Park,Comedy|Drama|Mystery,3.93
"Mighty Wind, A",Comedy|Musical,3.93
Harvey,Comedy|Fantasy,3.92
SLC Punk!,Comedy|Drama,3.92
Shall We Dance?,Comedy|Drama|Romance,3.92
Cookie's Fortune,Comedy|Drama,3.92
"Emperor's New Groove, The",Adventure|Animation|Children|Comedy|Fantasy,3.92
Charade,Comedy|Crime|Mystery|Romance|Thriller,3.92
"Adventures of Baron Munchausen, The",Adventure|Comedy|Fantasy,3.92
Monsoon Wedding,Comedy|Romance,3.92
"Fisher King, The",Comedy|Drama|Fantasy|Romance,3.92
Forgetting Sarah Marshall,Comedy|Romance,3.92
Ice Age,Adventure|Animation|Children|Comedy,3.92
Madagascar: Escape 2 Africa,Action|Adventure|Animation|Children|Comedy|IMAX,3.92
Family Guy Presents Stewie Griffin: The Untold Story,Adventure|Animation|Comedy,3.92
Despicable Me,Animation|Children|Comedy|Crime,3.92
Stripes,Comedy|War,3.91
Kick-Ass,Action|Comedy,3.91
"Fifth Element, The",Action|Adventure|Comedy|Sci-Fi,3.91
"Royal Tenenbaums, The",Comedy|Drama,3.91
"Triplets of Belleville, The",Animation|Comedy|Fantasy,3.91
Sideways,Comedy|Drama|Romance,3.9
Defending Your Life,Comedy|Drama|Fantasy|Romance,3.9
Caddyshack,Comedy,3.9
Friday,Comedy,3.9
Brüno,Comedy,3.9
Ghostbusters,Action|Comedy|Sci-Fi,3.9
17 Again,Comedy|Drama,3.9
Knocked Up,Comedy|Drama|Romance,3.9
"Breakfast Club, The",Comedy|Drama,3.9
Bridesmaids,Comedy,3.9
Get Him to the Greek,Comedy,3.9
"Muppet Christmas Carol, The",Children|Comedy|Musical,3.89
Bringing Up Baby,Comedy|Romance,3.89
Spy,Action|Comedy|Crime,3.88
Rango,Action|Adventure|Animation|Children|Comedy|Western,3.88
Modern Times,Comedy|Drama|Romance,3.88
Tommy Boy,Comedy,3.88
"Big Chill, The",Comedy|Drama,3.88
,Comedy|Drama|Romance,3.88
Duck Soup,Comedy|Musical|War,3.87
Best in Show,Comedy,3.87
Bill & Ted's Excellent Adventure,Adventure|Comedy|Sci-Fi,3.87
Aladdin,Adventure|Animation|Children|Comedy|Musical,3.87
Shakespeare in Love,Comedy|Drama|Romance,3.87
Confessions of a Dangerous Mind,Comedy|Crime|Drama|Thriller,3.87
Scott Pilgrim vs. the World,Action|Comedy|Fantasy|Musical|Romance,3.86
Manhattan Murder Mystery,Comedy|Mystery,3.86
Diner,Comedy|Drama,3.86
"Full Monty, The",Comedy|Drama,3.86
Much Ado About Nothing,Comedy|Romance,3.86
Ever After: A Cinderella Story,Comedy|Drama|Romance,3.86
Sleeper,Comedy|Sci-Fi,3.86
Yes Man,Comedy,3.85
The Intern,Comedy,3.85
Punch-Drunk Love,Comedy|Drama|Romance,3.85
Trading Places,Comedy,3.85
Megamind,Action|Animation|Children|Comedy|Sci-Fi|IMAX,3.85
"Devil Wears Prada, The",Comedy|Drama,3.85
"Purple Rose of Cairo, The",Comedy|Drama|Fantasy|Romance,3.85
Elf,Children|Comedy|Fantasy,3.85
Pitch Perfect,Comedy|Musical,3.85
Three Kings,Action|Adventure|Comedy|Drama|War,3.84
22 Jump Street,Action|Comedy|Crime,3.84
"Madness of King George, The",Comedy|Drama,3.84
As Good as It Gets,Comedy|Drama|Romance,3.84
Pineapple Express,Action|Comedy|Crime,3.84
50/50,Comedy|Drama,3.84
Wallace & Gromit in The Curse of the Were-Rabbit,Adventure|Animation|Children|Comedy,3.83
Heathers,Comedy,3.83
"Simpsons Movie, The",Animation|Comedy,3.83
"Ugly Truth, The",Comedy|Drama|Romance,3.83
Igby Goes Down,Comedy|Drama,3.83
Time Bandits,Adventure|Comedy|Fantasy|Sci-Fi,3.83
Bridget Jones's Diary,Comedy|Drama|Romance,3.83
"Goodbye Girl, The",Comedy|Romance,3.83
Frozen,Adventure|Animation|Comedy|Fantasy|Musical|Romance,3.83
Big,Comedy|Drama|Fantasy|Romance,3.82
Terms of Endearment,Comedy|Drama,3.82
Something's Gotta Give,Comedy|Drama|Romance,3.82
How the Grinch Stole Christmas!,Animation|Comedy|Fantasy|Musical,3.82
Dogma,Adventure|Comedy|Fantasy,3.82
Mister Roberts,Comedy|Drama|War,3.82
"Hangover, The",Comedy|Crime,3.82
Wonder Boys,Comedy|Drama,3.82
Now You See Me 2,Action|Comedy|Thriller,3.82
Horrible Bosses 2,Comedy|Crime,3.82
There's Something About Mary,Comedy|Romance,3.81
National Lampoon's Vacation,Comedy,3.81
Lethal Weapon,Action|Comedy|Crime|Drama,3.81
Zack and Miri Make a Porno,Comedy|Drama|Romance,3.81
High Fidelity,Comedy|Drama|Romance,3.81
"Lost Boys, The",Comedy|Horror|Thriller,3.81
"Cooler, The",Comedy|Drama|Romance,3.8
Role Models,Comedy,3.8
"Postman, The",Comedy|Drama|Romance,3.8
Kung Fu Hustle,Action|Comedy,3.79
Stardust,Adventure|Comedy|Fantasy|Romance,3.79
Animal House,Comedy,3.79
Nobody's Fool,Comedy|Drama|Romance,3.79
Despicable Me 2,Animation|Children|Comedy|IMAX,3.79
Swingers,Comedy|Drama,3.78
Better Off Dead...,Comedy|Romance,3.78
Election,Comedy,3.77
Waking Ned Devine,Comedy,3.77
Finding Dory,Adventure|Animation|Comedy,3.77
"40-Year-Old Virgin, The",Comedy|Romance,3.77
Corpse Bride,Animation|Comedy|Fantasy|Musical|Romance,3.77
Ed Wood,Comedy|Drama,3.77
Old School,Comedy,3.77
Mulan,Adventure|Animation|Children|Comedy|Drama|Musical|Romance,3.76
I Heart Huckabees,Comedy,3.76
Midnight in Paris,Comedy|Fantasy|Romance,3.76
Shrek 2,Adventure|Animation|Children|Comedy|Musical|Romance,3.76
Holes,Adventure|Children|Comedy|Mystery,3.75
Around the World in 80 Days,Adventure|Comedy,3.75
Chasing Amy,Comedy|Drama|Romance,3.75
Secondhand Lions,Children|Comedy|Drama,3.75
The Interview,Action|Comedy,3.75
Grosse Pointe Blank,Comedy|Crime|Romance,3.75
"Return of the Pink Panther, The",Comedy|Crime,3.75
History of the World: Part I,Comedy|Musical,3.75
Real Genius,Comedy,3.75
Step Brothers,Comedy,3.75
"Proposal, The",Comedy|Romance,3.75
Major League,Comedy,3.75
Four Rooms,Comedy,3.75
Half Baked,Comedy,3.75
"Station Agent, The",Comedy|Drama,3.75
"American President, The",Comedy|Drama|Romance,3.74
Dodgeball: A True Underdog Story,Comedy,3.74
"Goonies, The",Action|Adventure|Children|Comedy|Fantasy,3.74
50 First Dates,Comedy|Romance,3.74
Strange Brew,Comedy,3.73
Meet the Robinsons,Action|Adventure|Animation|Children|Comedy|Sci-Fi,3.73
Strictly Ballroom,Comedy|Romance,3.73
Tropic Thunder,Action|Adventure|Comedy|War,3.73
Midnight Run,Action|Comedy|Crime|Thriller,3.73
Sixteen Candles,Comedy|Romance,3.73
Hotel Transylvania,Animation|Children|Comedy,3.73
Parenthood,Comedy|Drama,3.73
48 Hrs.,Action|Comedy|Crime|Drama,3.73
Christmas Vacation,Comedy,3.73
The Man from U.N.C.L.E.,Action|Adventure|Comedy,3.72
Smoke,Comedy|Drama,3.72
"Adventures of Priscilla, Queen of the Desert, The",Comedy|Drama,3.72
Warm Bodies,Comedy|Horror|Romance,3.71
"Dictator, The",Comedy,3.71
Wedding Crashers,Comedy|Romance,3.71
Jackass: The Movie,Action|Comedy|Documentary,3.71
Super Troopers,Comedy|Crime|Mystery,3.71
Broken Flowers,Comedy|Drama,3.71
Bull Durham,Comedy|Drama|Romance,3.71
"Definitely, Maybe",Comedy|Drama|Romance,3.71
Horrible Bosses,Comedy|Crime,3.71
Over the Hedge,Adventure|Animation|Children|Comedy,3.71
"I Love You, Man",Comedy,3.71
Re-Animator,Comedy|Horror|Sci-Fi,3.7
Austin Powers: International Man of Mystery,Action|Adventure|Comedy,3.7
Super Size Me,Comedy|Documentary|Drama,3.7
"People vs. Larry Flynt, The",Comedy|Drama,3.7
"Sorcerer's Apprentice, The",Action|Adventure|Children|Comedy|Fantasy,3.7
"Internship, The",Comedy,3.7
Red,Action|Comedy,3.7
Grown Ups,Comedy,3.7
Women on the Verge of a Nervous Breakdown,Comedy|Drama,3.7
Rushmore,Comedy|Drama,3.7
Shallow Grave,Comedy|Drama|Thriller,3.7
"Majestic, The",Comedy|Drama|Romance,3.7
"Muppet Movie, The",Adventure|Children|Comedy|Musical,3.7
"Ideal Husband, An",Comedy|Romance,3.7
Galaxy Quest,Adventure|Comedy|Sci-Fi,3.69
Burn After Reading,Comedy|Crime|Drama,3.69
Get Smart,Action|Comedy,3.69
Chicken Run,Animation|Children|Comedy,3.69
Private Parts,Comedy|Drama,3.69
Barcelona,Comedy|Romance,3.69
Zoolander,Comedy,3.69
10 Things I Hate About You,Comedy|Romance,3.69
"Whole Nine Yards, The",Comedy|Crime,3.69
Kung Fu Panda,Action|Animation|Children|Comedy|IMAX,3.69
Don Juan DeMarco,Comedy|Drama|Romance,3.68
"Life Aquatic with Steve Zissou, The",Adventure|Comedy|Fantasy,3.68
Pirates of the Caribbean: At World's End,Action|Adventure|Comedy|Fantasy,3.68
My Best Friend's Wedding,Comedy|Romance,3.68
Ghost World,Comedy|Drama,3.68
Who Framed Roger Rabbit?,Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,3.68
Victor/Victoria,Comedy|Musical|Romance,3.67
Seven Psychopaths,Comedy|Crime,3.67
Fried Green Tomatoes,Comedy|Crime|Drama,3.67
Flirting With Disaster,Comedy,3.67
Shoot 'Em Up,Action|Comedy|Crime,3.67
Keeping the Faith,Comedy|Drama|Romance,3.67
Coming to America,Comedy|Romance,3.67
Team America: World Police,Action|Adventure|Animation|Comedy,3.66
First Strike,Action|Adventure|Comedy|Thriller,3.65
Welcome to the Dollhouse,Comedy|Drama,3.65
"Bug's Life, A",Adventure|Animation|Children|Comedy,3.65
"Hudsucker Proxy, The",Comedy,3.65
Back to the Future Part II,Adventure|Comedy|Sci-Fi,3.64
Anchorman 2: The Legend Continues,Comedy,3.64
Chitty Chitty Bang Bang,Adventure|Children|Comedy|Fantasy|Musical,3.64
Men in Black,Action|Comedy|Sci-Fi,3.64
Wayne's World,Comedy,3.64
Date Night,Action|Comedy|Romance,3.64
Beetlejuice,Comedy|Fantasy,3.64
"Pink Panther, The",Comedy|Crime,3.64
In Good Company,Comedy|Drama,3.64
Cheech and Chong's Up in Smoke,Comedy,3.64
I Now Pronounce You Chuck and Larry,Comedy|Romance,3.64
Saturday Night Fever,Comedy|Drama|Romance,3.64
Primary Colors,Comedy|Drama,3.64
Spaceballs,Comedy|Sci-Fi,3.63
Dave,Comedy|Romance,3.63
Bullets Over Broadway,Comedy,3.63
Pleasantville,Comedy|Drama|Fantasy,3.62
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",Adventure|Comedy|Sci-Fi,3.62
School of Rock,Comedy|Musical,3.62
Twelfth Night,Comedy|Drama|Romance,3.62
"Darjeeling Limited, The",Adventure|Comedy|Drama,3.62
From Dusk Till Dawn,Action|Comedy|Horror|Thriller,3.62
Suicide Kings,Comedy|Crime|Drama|Mystery|Thriller,3.62
Fast Times at Ridgemont High,Comedy|Drama|Romance,3.62
Man on the Moon,Comedy|Drama,3.62
Bad Santa,Comedy|Crime,3.62
Rumble in the Bronx,Action|Adventure|Comedy|Crime,3.61
Bolt,Action|Adventure|Animation|Children|Comedy,3.61
Robin Hood,Adventure|Animation|Children|Comedy|Musical,3.61
Sneakers,Action|Comedy|Crime|Drama|Sci-Fi,3.61
"World's End, The",Action|Comedy|Sci-Fi,3.61
Hercules,Adventure|Animation|Children|Comedy|Musical,3.61
"Wedding Singer, The",Comedy|Romance,3.61
Cars,Animation|Children|Comedy,3.61
Moana,Adventure|Animation|Children|Comedy|Fantasy,3.6
Nick and Norah's Infinite Playlist,Comedy|Drama|Romance,3.6
Everyone Says I Love You,Comedy|Musical|Romance,3.6
Be Kind Rewind,Comedy,3.6
"League of Their Own, A",Comedy|Drama,3.6
Swimming with Sharks,Comedy|Drama,3.6
Cold Comfort Farm,Comedy,3.6
Four Weddings and a Funeral,Comedy|Romance,3.6
Tootsie,Comedy|Romance,3.59
"Hitchhiker's Guide to the Galaxy, The",Adventure|Comedy|Sci-Fi,3.59
Harold and Kumar Go to White Castle,Adventure|Comedy,3.59
Pretty Woman,Comedy|Romance,3.59
Meet the Parents,Comedy,3.59
Notting Hill,Comedy|Romance,3.59
Moonstruck,Comedy|Romance,3.59
Happy Gilmore,Comedy,3.58
Small Time Crooks,Comedy|Crime,3.58
Hairspray,Comedy|Drama,3.58
Fright Night,Comedy|Horror|Thriller,3.58
Madagascar,Adventure|Animation|Children|Comedy,3.58
"Sandlot, The",Children|Comedy|Drama,3.58
Birdman: Or,Comedy|Drama,3.58
Benny & Joon,Comedy|Romance,3.58
Mystery Science Theater 3000: The Movie,Comedy|Sci-Fi,3.58
"Naked Gun 2 1/2: The Smell of Fear, The",Comedy,3.58
"Naked Gun: From the Files of Police Squad!, The",Action|Comedy|Crime|Romance,3.57
Bubba Ho-tep,Comedy|Horror,3.57
Ted,Comedy|Fantasy,3.57
"Frighteners, The",Comedy|Horror|Thriller,3.57
True Lies,Action|Adventure|Comedy|Romance|Thriller,3.57
Mallrats,Comedy|Romance,3.56
Star Trek IV: The Voyage Home,Adventure|Comedy|Sci-Fi,3.56
Romancing the Stone,Action|Adventure|Comedy|Romance,3.56
Tremors,Comedy|Horror|Sci-Fi,3.56
Maverick,Adventure|Comedy|Western,3.55
Bedtime Stories,Adventure|Children|Comedy,3.55
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,3.55
"Birdcage, The",Comedy,3.55
"Little Mermaid, The",Animation|Children|Comedy|Musical|Romance,3.55
Sleepless in Seattle,Comedy|Drama|Romance,3.55
Rush Hour 2,Action|Comedy,3.55
American Pie,Comedy|Romance,3.55
Spanglish,Comedy|Drama|Romance,3.55
Take the Money and Run,Comedy|Crime,3.55
Death to Smoochy,Comedy|Crime|Drama,3.55
Kick-Ass 2,Action|Comedy|Crime,3.55
Beverly Hills Cop,Action|Comedy|Crime|Drama,3.54
"Tao of Steve, The",Comedy,3.54
"Knight's Tale, A",Action|Comedy|Romance,3.54
Empire Records,Comedy|Drama,3.54
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,3.54
Harold & Kumar Escape from Guantanamo Bay,Adventure|Comedy,3.54
While You Were Sleeping,Comedy|Romance,3.54
Talladega Nights: The Ballad of Ricky Bobby,Action|Comedy,3.54
Get Shorty,Comedy|Crime|Thriller,3.54
Hot Tub Time Machine,Comedy|Sci-Fi,3.53
Adventureland,Comedy|Drama,3.53
French Kiss,Action|Comedy|Romance,3.53
"Hard Day's Night, A",Adventure|Comedy|Musical,3.53
"Terminal, The",Comedy|Drama|Romance,3.53
Lady and the Tramp,Animation|Children|Comedy|Romance,3.53
"Hangover Part II, The",Comedy,3.53
Risky Business,Comedy,3.52
Father of the Bride,Comedy,3.52
Back to the Future Part III,Adventure|Comedy|Sci-Fi|Western,3.52
"American Werewolf in London, An",Comedy|Horror|Thriller,3.52
Patch Adams,Comedy|Drama,3.52
Repo Man,Comedy|Sci-Fi,3.52
Bend It Like Beckham,Comedy|Drama|Romance,3.52
Kingpin,Comedy,3.52
Napoleon Dynamite,Comedy,3.51
Mrs. Doubtfire,Comedy|Drama,3.51
Ghost,Comedy|Drama|Fantasy|Romance|Thriller,3.51
Gremlins,Comedy|Horror,3.51
Bruce Almighty,Comedy|Drama|Fantasy|Romance,3.51
I.Q.,Comedy|Romance,3.51
Hook,Adventure|Comedy|Fantasy,3.51
"Aristocrats, The",Comedy|Documentary,3.5
"Ref, The",Comedy,3.5
Trainwreck,Comedy|Romance,3.5
Neighbors,Comedy,3.5
Men in Black III,Action|Comedy|Sci-Fi|IMAX,3.5
Focus,Comedy|Crime|Drama|Romance,3.5
This Is the End,Action|Comedy,3.5
Due Date,Comedy,3.5
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy,3.5
Bee Movie,Animation|Comedy,3.5
Adventures in Babysitting,Adventure|Comedy,3.5
"Holiday, The",Comedy|Romance,3.5
L.A. Story,Comedy|Romance,3.5
Mighty Aphrodite,Comedy|Drama|Romance,3.5
Very Bad Things,Comedy|Crime,3.5
Little Shop of Horrors,Comedy|Horror|Musical,3.49
So I Married an Axe Murderer,Comedy|Romance|Thriller,3.49
Mr. & Mrs. Smith,Action|Adventure|Comedy|Romance,3.49
Ocean's Twelve,Action|Comedy|Crime|Thriller,3.49
"Rocky Horror Picture Show, The",Comedy|Horror|Musical|Sci-Fi,3.48
"Mexican, The",Action|Comedy,3.48
"Jerk, The",Comedy,3.48
How to Lose a Guy in 10 Days,Comedy|Romance,3.48
Ice Age 2: The Meltdown,Adventure|Animation|Children|Comedy,3.48
"Truth About Cats & Dogs, The",Comedy|Romance,3.48
Sabrina,Comedy|Romance,3.48
Can't Hardly Wait,Comedy|Drama|Romance,3.47
Minions,Adventure|Animation|Children|Comedy,3.47
Paul,Adventure|Comedy|Sci-Fi,3.47
Kung Fu Panda 2,Action|Adventure|Animation|Children|Comedy|IMAX,3.47
Two Weeks Notice,Comedy|Romance,3.47
"Bucket List, The",Comedy|Drama,3.46
Broadcast News,Comedy|Drama|Romance,3.46
"Wedding Date, The",Comedy|Romance,3.45
Short Circuit,Comedy|Sci-Fi,3.45
Rush Hour,Action|Comedy|Crime|Thriller,3.45
Bananas,Comedy|War,3.45
27 Dresses,Comedy|Romance,3.45
"Serious Man, A",Comedy|Drama,3.45
"Great Muppet Caper, The",Children|Comedy,3.45
My Big Fat Greek Wedding,Comedy|Romance,3.45
City Slickers,Comedy|Western,3.45
Roxanne,Comedy|Romance,3.45
Wayne's World 2,Comedy,3.44
Clue,Comedy|Crime|Mystery|Thriller,3.44
Starsky & Hutch,Action|Comedy|Crime|Thriller,3.43
Boys on the Side,Comedy|Drama,3.43
Billy Madison,Comedy,3.43
"Other Guys, The",Action|Comedy,3.43
Nurse Betty,Comedy|Crime|Drama|Romance|Thriller,3.42
Hitch,Comedy|Romance,3.42
"Good Girl, The",Comedy|Drama,3.42
Kids in the Hall: Brain Candy,Comedy,3.42
"Brothers McMullen, The",Comedy,3.42
Muppet Treasure Island,Adventure|Children|Comedy|Musical,3.42
