title,genres,weightedAverage
"Femme Nikita, La",Action|Crime|Romance|Thriller,4.23
Fargo,Comedy|Crime|Drama|Thriller,4.22
The Imitation Game,Drama|Thriller|War,4.22
Taxi Driver,Crime|Drama|Thriller,4.21
Eastern Promises,Crime|Drama|Thriller,4.21
Argo,Drama|Thriller,4.21
Kill Bill: Vol. 1,Action|Crime|Thriller,4.2
Dial M for Murder,Crime|Mystery|Thriller,4.2
L.A. Confidential,Crime|Film-Noir|Mystery|Thriller,4.2
Rope,Crime|Drama|Thriller,4.2
All the President's Men,Drama|Thriller,4.19
Watchmen,Action|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.19
Captain Phillips,Adventure|Drama|Thriller|IMAX,4.19
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,4.18
Ex Machina,Drama|Sci-Fi|Thriller,4.18
The Machinist,Drama|Mystery|Thriller,4.18
"Cabin in the Woods, The",Comedy|Horror|Sci-Fi|Thriller,4.18
"39 Steps, The",Drama|Mystery|Thriller,4.18
"Lock, Stock & Two Smoking Barrels",Comedy|Crime|Thriller,4.18
"Town, The",Crime|Drama|Thriller,4.18
Limitless,Sci-Fi|Thriller,4.17
Battle Royale,Action|Drama|Horror|Thriller,4.17
Casino Royale,Action|Adventure|Thriller,4.16
Vertigo,Drama|Mystery|Romance|Thriller,4.15
"Last King of Scotland, The",Drama|Thriller,4.15
Léon: The Professional,Action|Crime|Drama|Thriller,4.14
Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,4.14
Moon,Drama|Mystery|Sci-Fi|Thriller,4.12
"Clockwork Orange, A",Crime|Drama|Sci-Fi|Thriller,4.12
Michael Clayton,Drama|Thriller,4.12
"Road Warrior, The",Action|Adventure|Sci-Fi|Thriller,4.12
V for Vendetta,Action|Sci-Fi|Thriller|IMAX,4.1
Predestination,Action|Mystery|Sci-Fi|Thriller,4.1
Arsenic and Old Lace,Comedy|Mystery|Thriller,4.1
Equilibrium,Action|Sci-Fi|Thriller,4.09
"Spanish Prisoner, The",Crime|Drama|Mystery|Thriller,4.09
"Killer, The",Action|Crime|Drama|Thriller,4.09
Seven,Mystery|Thriller,4.09
Sherlock Holmes,Action|Crime|Mystery|Thriller,4.09
Das Experiment,Drama|Thriller,4.09
Traffic,Crime|Drama|Thriller,4.09
The Hunger Games: Mockingjay - Part 1,Adventure|Sci-Fi|Thriller,4.09
American Gangster,Crime|Drama|Thriller,4.08
Murder in the First,Drama|Thriller,4.08
Twelve Monkeys,Mystery|Sci-Fi|Thriller,4.08
Gattaca,Drama|Sci-Fi|Thriller,4.08
Zero Effect,Comedy|Mystery|Thriller,4.07
"Limey, The",Crime|Drama|Thriller,4.07
Brotherhood of the Wolf,Action|Mystery|Thriller,4.07
Blue Velvet,Drama|Mystery|Thriller,4.07
"Fugitive, The",Thriller,4.07
Sin City,Action|Crime|Film-Noir|Mystery|Thriller,4.06
eXistenZ,Action|Sci-Fi|Thriller,4.05
X-Men: First Class,Action|Adventure|Sci-Fi|Thriller|War,4.05
"Professional, The",Action|Drama|Thriller,4.05
Layer Cake,Crime|Drama|Thriller,4.05
"Manchurian Candidate, The",Crime|Thriller|War,4.05
Munich,Action|Crime|Drama|Thriller,4.05
Kill Bill: Vol. 2,Action|Drama|Thriller,4.05
Strangers on a Train,Crime|Drama|Film-Noir|Thriller,4.04
Shooter,Action|Drama|Thriller,4.04
Bound,Crime|Drama|Romance|Thriller,4.04
Pi,Drama|Sci-Fi|Thriller,4.04
"French Connection, The",Action|Crime|Thriller,4.03
The Count of Monte Cristo,Action|Adventure|Drama|Thriller,4.03
"Terminator, The",Action|Sci-Fi|Thriller,4.02
Skyfall,Action|Adventure|Thriller|IMAX,4.02
Dark City,Adventure|Film-Noir|Sci-Fi|Thriller,4.02
Misery,Drama|Horror|Thriller,4.02
Ocean's Eleven,Crime|Thriller,4.02
Heat,Action|Crime|Thriller,4.02
Harry Potter and the Goblet of Fire,Adventure|Fantasy|Thriller|IMAX,4.01
"Bourne Identity, The",Action|Mystery|Thriller,4.01
Sherlock: The Abominable Bride,Action|Crime|Drama|Mystery|Thriller,4.0
"Hunt for Red October, The",Action|Adventure|Thriller,4.0
Fracture,Crime|Drama|Mystery|Thriller,4.0
"Evil Dead, The",Fantasy|Horror|Thriller,4.0
Pan's Labyrinth,Drama|Fantasy|Thriller,4.0
John Wick,Action|Thriller,4.0
District 9,Mystery|Sci-Fi|Thriller,4.0
127 Hours,Adventure|Drama|Thriller,4.0
Thirteen Days,Drama|Thriller|War,4.0
Body Heat,Crime|Thriller,4.0
Frailty,Crime|Drama|Thriller,4.0
Inside Man,Crime|Drama|Thriller,4.0
Sherlock Holmes: A Game of Shadows,Action|Adventure|Comedy|Crime|Mystery|Thriller,4.0
Amores Perros,Drama|Thriller,4.0
Cape Fear,Thriller,4.0
The Nice Guys,Crime|Mystery|Thriller,4.0
Body of Lies,Action|Drama|Thriller,4.0
"Thing, The",Action|Horror|Sci-Fi|Thriller,4.0
You Only Live Twice,Action|Adventure|Sci-Fi|Thriller,4.0
Star Trek: First Contact,Action|Adventure|Sci-Fi|Thriller,3.98
American Psycho,Crime|Horror|Mystery|Thriller,3.98
Mulholland Drive,Crime|Drama|Film-Noir|Mystery|Thriller,3.98
Out of Sight,Comedy|Crime|Drama|Romance|Thriller,3.97
"Bourne Supremacy, The",Action|Crime|Thriller,3.97
Deliverance,Adventure|Drama|Thriller,3.97
Blood Diamond,Action|Adventure|Crime|Drama|Thriller|War,3.96
Training Day,Crime|Drama|Thriller,3.96
Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,3.96
Dirty Harry,Action|Crime|Thriller,3.95
"Omen, The",Horror|Mystery|Thriller,3.95
Die Hard,Action|Crime|Thriller,3.95
Collateral,Action|Crime|Drama|Thriller,3.95
21,Crime|Drama|Romance|Thriller,3.94
Goldfinger,Action|Adventure|Thriller,3.94
Idiocracy,Adventure|Comedy|Sci-Fi|Thriller,3.94
Drive,Crime|Drama|Film-Noir|Thriller,3.94
"Name of the Rose, The",Crime|Drama|Mystery|Thriller,3.94
True Romance,Crime|Thriller,3.92
Dirty Pretty Things,Crime|Drama|Thriller,3.92
Contagion,Sci-Fi|Thriller|IMAX,3.92
Charade,Comedy|Crime|Mystery|Romance|Thriller,3.92
"Day the Earth Stood Still, The",Drama|Sci-Fi|Thriller,3.92
Identity,Crime|Horror|Mystery|Thriller,3.91
Lord of War,Action|Crime|Drama|Thriller|War,3.91
Coraline,Animation|Fantasy|Thriller,3.91
Source Code,Action|Drama|Mystery|Sci-Fi|Thriller,3.91
X2: X-Men United,Action|Adventure|Sci-Fi|Thriller,3.91
Open Your Eyes,Drama|Romance|Sci-Fi|Thriller,3.9
"Game, The",Drama|Mystery|Thriller,3.9
Sweeney Todd: The Demon Barber of Fleet Street,Drama|Horror|Musical|Thriller,3.9
"Others, The",Drama|Horror|Mystery|Thriller,3.89
"Bourne Ultimatum, The",Action|Crime|Thriller,3.89
"Few Good Men, A",Crime|Drama|Thriller,3.88
Star Trek II: The Wrath of Khan,Action|Adventure|Sci-Fi|Thriller,3.87
"Dead Zone, The",Thriller,3.87
Zodiac,Crime|Drama|Thriller,3.87
Confessions of a Dangerous Mind,Comedy|Crime|Drama|Thriller,3.87
The Butterfly Effect,Drama|Sci-Fi|Thriller,3.87
Super 8,Mystery|Sci-Fi|Thriller|IMAX,3.86
28 Weeks Later,Horror|Sci-Fi|Thriller,3.86
"Simple Plan, A",Crime|Drama|Thriller,3.86
Taken,Action|Crime|Drama|Thriller,3.86
Black Swan,Drama|Thriller,3.86
Gone Girl,Drama|Thriller,3.86
"Bank Job, The",Action|Crime|Thriller,3.85
Dead Again,Mystery|Romance|Thriller,3.85
Invasion of the Body Snatchers,Horror|Sci-Fi|Thriller,3.85
Jackie Brown,Crime|Drama|Thriller,3.85
"Insider, The",Drama|Thriller,3.84
Live and Let Die,Action|Adventure|Thriller,3.83
From Russia with Love,Action|Adventure|Thriller,3.83
Hard Candy,Drama|Thriller,3.83
Jurassic Park,Action|Adventure|Sci-Fi|Thriller,3.83
Sleepers,Thriller,3.83
Man on Fire,Action|Crime|Drama|Mystery|Thriller,3.83
Night of the Living Dead,Horror|Sci-Fi|Thriller,3.82
"Scanner Darkly, A",Animation|Drama|Mystery|Sci-Fi|Thriller,3.82
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,3.82
Captain America: Civil War,Action|Sci-Fi|Thriller,3.82
Now You See Me 2,Action|Comedy|Thriller,3.82
Mission: Impossible - Ghost Protocol,Action|Adventure|Thriller|IMAX,3.82
Dr. No,Action|Adventure|Thriller,3.82
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,3.82
Mississippi Burning,Crime|Drama|Thriller,3.82
Three Days of the Condor,Drama|Mystery|Romance|Thriller,3.81
"Lost Boys, The",Comedy|Horror|Thriller,3.81
M,Crime|Film-Noir|Thriller,3.8
From Hell,Crime|Horror|Mystery|Thriller,3.8
"Lincoln Lawyer, The",Crime|Drama|Thriller,3.8
Sunshine,Adventure|Drama|Sci-Fi|Thriller,3.79
Mission: Impossible III,Action|Adventure|Thriller,3.79
10 Cloverfield Lane,Thriller,3.79
Apocalypto,Adventure|Drama|Thriller,3.79
"Girl with the Dragon Tattoo, The",Drama|Thriller,3.79
In the Line of Fire,Action|Thriller,3.76
Boiler Room,Crime|Drama|Thriller,3.76
Total Recall,Action|Adventure|Sci-Fi|Thriller,3.76
Syriana,Drama|Thriller,3.75
Captain America: The First Avenger,Action|Adventure|Sci-Fi|Thriller|War,3.75
Iron Man 3,Action|Sci-Fi|Thriller|IMAX,3.75
"I, Robot",Action|Adventure|Sci-Fi|Thriller,3.74
"Time to Kill, A",Drama|Thriller,3.74
Primal Fear,Crime|Drama|Mystery|Thriller,3.74
Babel,Drama|Thriller,3.74
Midnight Run,Action|Comedy|Crime|Thriller,3.73
Ringu,Horror|Mystery|Thriller,3.73
Spider-Man,Action|Adventure|Sci-Fi|Thriller,3.73
"Descent, The",Adventure|Drama|Horror|Thriller,3.73
"Birds, The",Horror|Thriller,3.73
"Man with the Golden Gun, The",Action|Adventure|Thriller,3.72
Pitch Black,Horror|Sci-Fi|Thriller,3.72
I Am Legend,Action|Horror|Sci-Fi|Thriller|IMAX,3.71
Quantum of Solace,Action|Adventure|Thriller,3.71
In Time,Crime|Sci-Fi|Thriller,3.71
First Blood,Action|Adventure|Drama|Thriller,3.7
"Rock, The",Action|Adventure|Thriller,3.7
Crimson Tide,Drama|Thriller|War,3.7
Iron Man 2,Action|Adventure|Sci-Fi|Thriller|IMAX,3.7
Witness,Drama|Romance|Thriller,3.7
Predators,Action|Sci-Fi|Thriller,3.7
Shallow Grave,Comedy|Drama|Thriller,3.7
"Constant Gardener, The",Drama|Thriller,3.69
Predator,Action|Sci-Fi|Thriller,3.69
One Hour Photo,Drama|Thriller,3.68
"History of Violence, A",Action|Crime|Drama|Thriller,3.67
The Hunger Games,Action|Adventure|Drama|Sci-Fi|Thriller,3.67
For Your Eyes Only,Action|Adventure|Thriller,3.67
"Crow, The",Action|Crime|Fantasy|Thriller,3.67
"Mariachi, El",Action|Crime|Thriller|Western,3.67
Ocean's Thirteen,Crime|Thriller,3.67
Rise of the Planet of the Apes,Action|Drama|Sci-Fi|Thriller,3.67
Runaway Jury,Drama|Thriller,3.65
First Strike,Action|Adventure|Comedy|Thriller,3.65
"Recruit, The",Action|Thriller,3.65
JFK,Drama|Mystery|Thriller,3.65
Red Dragon,Crime|Mystery|Thriller,3.65
Red Rock West,Thriller,3.64
Valkyrie,Drama|Thriller|War,3.64
S.W.A.T.,Action|Thriller,3.64
Hanna,Action|Adventure|Mystery|Thriller,3.64
Clear and Present Danger,Action|Crime|Drama|Thriller,3.64
Speed,Action|Romance|Thriller,3.64
Constantine,Action|Fantasy|Horror|Thriller,3.63
Ronin,Action|Crime|Thriller,3.63
Enemy of the State,Action|Thriller,3.63
Diamonds Are Forever,Action|Adventure|Thriller,3.62
Die Hard: With a Vengeance,Action|Crime|Thriller,3.62
Mission: Impossible,Action|Adventure|Mystery|Thriller,3.62
Marathon Man,Crime|Drama|Thriller,3.62
Suicide Kings,Comedy|Crime|Drama|Mystery|Thriller,3.62
Thunderball,Action|Adventure|Thriller,3.62
Dunkirk,Action|Drama|Thriller|War,3.62
From Dusk Till Dawn,Action|Comedy|Horror|Thriller,3.62
GoldenEye,Action|Adventure|Thriller,3.61
"Abyss, The",Action|Adventure|Sci-Fi|Thriller,3.61
Stir of Echoes,Horror|Mystery|Thriller,3.61
"Island, The",Action|Sci-Fi|Thriller,3.61
Poltergeist,Horror|Thriller,3.6
"Salton Sea, The",Crime|Drama|Thriller,3.6
Independence Day,Action|Adventure|Sci-Fi|Thriller,3.59
Live Free or Die Hard,Action|Adventure|Crime|Thriller,3.59
Vanilla Sky,Mystery|Romance|Sci-Fi|Thriller,3.59
Spy Game,Action|Crime|Drama|Thriller,3.59
"Firm, The",Drama|Thriller,3.59
Grindhouse,Action|Crime|Horror|Sci-Fi|Thriller,3.59
Patriot Games,Action|Crime|Drama|Thriller,3.58
Sydney,Crime|Drama|Thriller,3.58
Jack Reacher,Action|Crime|Thriller,3.58
X-Men: The Last Stand,Action|Sci-Fi|Thriller,3.58
Fright Night,Comedy|Horror|Thriller,3.58
"Frighteners, The",Comedy|Horror|Thriller,3.57
Crank,Action|Thriller,3.57
Eyes Wide Shut,Drama|Mystery|Thriller,3.57
"Punisher, The",Action|Crime|Thriller,3.57
True Lies,Action|Adventure|Comedy|Romance|Thriller,3.57
Transformers,Action|Sci-Fi|Thriller|IMAX,3.56
Frequency,Drama|Thriller,3.56
Disclosure,Drama|Thriller,3.56
"Spy Who Loved Me, The",Action|Adventure|Thriller,3.56
Twin Peaks: Fire Walk with Me,Crime|Drama|Mystery|Thriller,3.55
Dracula,Fantasy|Horror|Romance|Thriller,3.55
The Devil's Advocate,Drama|Mystery|Thriller,3.55
"Matrix Reloaded, The",Action|Adventure|Sci-Fi|Thriller|IMAX,3.55
Now You See Me,Crime|Mystery|Thriller,3.55
"X-Files: Fight the Future, The",Action|Crime|Mystery|Sci-Fi|Thriller,3.55
Déjà Vu,Action|Sci-Fi|Thriller,3.55
U-571,Action|Thriller|War,3.55
Get Shorty,Comedy|Crime|Thriller,3.54
Die Hard 2,Action|Adventure|Thriller,3.54
Fallen,Crime|Drama|Fantasy|Thriller,3.53
Soylent Green,Drama|Mystery|Sci-Fi|Thriller,3.53
"Negotiator, The",Action|Crime|Drama|Mystery|Thriller,3.53
"American Werewolf in London, An",Comedy|Horror|Thriller,3.52
Blade,Action|Horror|Thriller,3.52
"Chronicles of Riddick, The",Action|Sci-Fi|Thriller,3.52
Cube,Horror|Mystery|Sci-Fi|Thriller,3.52
Face/Off,Action|Crime|Drama|Thriller,3.51
Batman,Action|Crime|Thriller,3.51
Payback,Action|Thriller,3.51
Escape from New York,Action|Adventure|Sci-Fi|Thriller,3.51
Ghost,Comedy|Drama|Fantasy|Romance|Thriller,3.51
Terminator Salvation,Action|Adventure|Sci-Fi|Thriller,3.5
Single White Female,Drama|Thriller,3.5
Carrie,Drama|Fantasy|Horror|Thriller,3.5
RoboCop,Action|Crime|Drama|Sci-Fi|Thriller,3.5
"Crying Game, The",Drama|Romance|Thriller,3.5
"Devil's Backbone, The",Drama|Fantasy|Horror|Thriller|War,3.5
Chappie,Action|Thriller,3.5
Just Cause,Mystery|Thriller,3.5
Disturbia,Drama|Thriller,3.5
Ocean's Twelve,Action|Comedy|Crime|Thriller,3.49
Outbreak,Action|Drama|Sci-Fi|Thriller,3.49
So I Married an Axe Murderer,Comedy|Romance|Thriller,3.49
Cloverfield,Action|Mystery|Sci-Fi|Thriller,3.48
Jurassic World,Action|Adventure|Drama|Sci-Fi|Thriller,3.48
21 Grams,Crime|Drama|Mystery|Romance|Thriller,3.48
WarGames,Drama|Sci-Fi|Thriller,3.48
Angels & Demons,Crime|Drama|Mystery|Thriller,3.47
Screamers,Action|Sci-Fi|Thriller,3.47
"Godfather: Part III, The",Crime|Drama|Mystery|Thriller,3.47
Air Force One,Action|Thriller,3.47
"Talented Mr. Ripley, The",Drama|Mystery|Thriller,3.47
On Her Majesty's Secret Service,Action|Adventure|Romance|Thriller,3.47
Secret Window,Mystery|Thriller,3.47
"Fly, The",Drama|Horror|Sci-Fi|Thriller,3.46
Dolores Claiborne,Drama|Thriller,3.46
Ransom,Crime|Thriller,3.46
"World Is Not Enough, The",Action|Adventure|Thriller,3.46
"Client, The",Drama|Mystery|Thriller,3.46
National Treasure,Action|Adventure|Drama|Mystery|Thriller,3.45
"Long Kiss Goodnight, The",Action|Drama|Thriller,3.45
Rush Hour,Action|Comedy|Crime|Thriller,3.45
Smilla's Sense of Snow,Drama|Thriller,3.45
Westworld,Action|Sci-Fi|Thriller|Western,3.44
Clue,Comedy|Crime|Mystery|Thriller,3.44
Transporter 2,Action|Crime|Thriller,3.44
Starsky & Hutch,Action|Comedy|Crime|Thriller,3.43
"Adjustment Bureau, The",Romance|Sci-Fi|Thriller,3.43
"Living Daylights, The",Action|Adventure|Thriller,3.42
Nurse Betty,Comedy|Crime|Drama|Romance|Thriller,3.42
Insomnia,Action|Crime|Drama|Mystery|Thriller,3.42
Phone Booth,Drama|Thriller,3.41
Wanted,Action|Thriller,3.41
Blade II,Action|Horror|Thriller,3.41
To Die For,Comedy|Drama|Thriller,3.41
Licence to Kill,Action|Adventure|Thriller,3.4
"Mosquito Coast, The",Adventure|Drama|Thriller,3.4
War of the Worlds,Action|Adventure|Sci-Fi|Thriller,3.4
"Ring, The",Horror|Mystery|Thriller,3.4
Nick of Time,Action|Thriller,3.4
Twister,Action|Adventure|Romance|Thriller,3.4
"Perfect Storm, The",Drama|Thriller,3.39
Saw,Horror|Mystery|Thriller,3.39
Executive Decision,Action|Adventure|Thriller,3.39
"Village, The",Drama|Mystery|Thriller,3.38
"Perfect World, A",Crime|Drama|Thriller,3.38
"Matrix Revolutions, The",Action|Adventure|Sci-Fi|Thriller|IMAX,3.38
Point Break,Action|Crime|Thriller,3.38
"View to a Kill, A",Action|Adventure|Thriller,3.38
"Perfect Murder, A",Thriller,3.38
Death Proof,Action|Adventure|Crime|Horror|Thriller,3.38
Breakdown,Action|Thriller,3.38
Cop Land,Action|Crime|Drama|Thriller,3.38
Bad Boys,Action|Comedy|Crime|Drama|Thriller,3.37
Basic Instinct,Crime|Mystery|Thriller,3.36
1408,Drama|Horror|Thriller,3.36
Scream,Comedy|Horror|Mystery|Thriller,3.36
Young Sherlock Holmes,Action|Adventure|Children|Fantasy|Mystery|Thriller,3.36
Arlington Road,Thriller,3.36
Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,3.36
Once Upon a Time in Mexico,Action|Adventure|Crime|Thriller,3.36
"Da Vinci Code, The",Drama|Mystery|Thriller,3.35
"A-Team, The",Action|Comedy|Thriller,3.35
Signs,Horror|Sci-Fi|Thriller,3.35
Machete,Action|Adventure|Comedy|Crime|Thriller,3.33
"Saint, The",Action|Romance|Sci-Fi|Thriller,3.33
Dead Men Don't Wear Plaid,Comedy|Crime|Thriller,3.33
"Mummy Returns, The",Action|Adventure|Comedy|Thriller,3.33
Sucker Punch,Action|Fantasy|Thriller|IMAX,3.33
"Ninth Gate, The",Fantasy|Horror|Mystery|Thriller,3.33
"Bourne Legacy, The",Action|Adventure|Drama|Thriller|IMAX,3.33
"River Wild, The",Action|Thriller,3.32
Copycat,Crime|Drama|Horror|Mystery|Thriller,3.31
Johnny English,Action|Comedy|Thriller,3.31
Wolf,Drama|Horror|Romance|Thriller,3.31
Hackers,Action|Adventure|Crime|Thriller,3.31
Smokin' Aces,Action|Crime|Drama|Thriller,3.3
Tales from the Crypt Presents: Demon Knight,Horror|Thriller,3.3
Fast Five,Action|Crime|Drama|Thriller|IMAX,3.3
Spider-Man 3,Action|Adventure|Sci-Fi|Thriller|IMAX,3.3
Resident Evil: Extinction,Action|Horror|Sci-Fi|Thriller,3.3
"Mummy, The",Action|Adventure|Comedy|Fantasy|Horror|Thriller,3.3
Fast & Furious,Action|Crime|Drama|Thriller,3.3
"Fast and the Furious, The",Action|Crime|Thriller,3.29
Along Came a Spider,Action|Crime|Mystery|Thriller,3.29
Jumper,Action|Adventure|Drama|Sci-Fi|Thriller,3.28
"Jackal, The",Action|Thriller,3.28
Natural Born Killers,Action|Crime|Thriller,3.28
Alien³,Action|Horror|Sci-Fi|Thriller,3.28
"Day After Tomorrow, The",Action|Adventure|Drama|Sci-Fi|Thriller,3.28
30 Days of Night,Horror|Thriller,3.27
Saw III,Crime|Horror|Thriller,3.27
Salt,Action|Thriller,3.27
Moonraker,Action|Adventure|Sci-Fi|Thriller,3.27
Kalifornia,Drama|Thriller,3.26
Star Trek: Nemesis,Action|Drama|Sci-Fi|Thriller,3.26
F/X,Action|Crime|Thriller,3.25
Assassins,Action|Crime|Thriller,3.25
Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,3.25
"Expendables, The",Action|Adventure|Thriller,3.24
Tomorrow Never Dies,Action|Adventure|Thriller,3.24
Panic Room,Thriller,3.24
Deep Impact,Drama|Sci-Fi|Thriller,3.23
"Mothman Prophecies, The",Drama|Fantasy|Horror|Mystery|Thriller,3.23
Pacific Heights,Mystery|Thriller,3.23
"Cell, The",Drama|Horror|Thriller,3.22
Romeo Must Die,Action|Crime|Romance|Thriller,3.22
Surrogates,Action|Sci-Fi|Thriller,3.21
Double Jeopardy,Action|Crime|Drama|Thriller,3.21
Final Destination 2,Horror|Thriller,3.2
Hostage,Action|Crime|Drama|Thriller,3.2
15 Minutes,Thriller,3.2
Armageddon,Action|Romance|Sci-Fi|Thriller,3.2
Resident Evil,Action|Horror|Sci-Fi|Thriller,3.2
"Nightmare on Elm Street, A",Horror|Thriller,3.19
Fatal Attraction,Drama|Thriller,3.19
"Arrival, The",Action|Sci-Fi|Thriller,3.18
Paycheck,Action|Sci-Fi|Thriller,3.18
Kindergarten Cop,Action|Comedy|Crime|Thriller,3.18
John Q,Crime|Drama|Thriller,3.18
"Sum of All Fears, The",Drama|Thriller,3.18
Con Air,Action|Adventure|Thriller,3.17
Dead Calm,Thriller,3.17
Silent Hill,Fantasy|Horror|Thriller,3.17
Eraser,Action|Drama|Thriller,3.16
X-Men Origins: Wolverine,Action|Sci-Fi|Thriller,3.15
Kiss the Girls,Crime|Drama|Mystery|Thriller,3.15
Alien Nation,Crime|Drama|Sci-Fi|Thriller,3.15
Mercury Rising,Action|Drama|Thriller,3.15
"Number 23, The",Drama|Mystery|Thriller,3.14
Next,Action|Sci-Fi|Thriller,3.14
"Craft, The",Drama|Fantasy|Horror|Thriller,3.13
"Specialist, The",Action|Drama|Thriller,3.13
U.S. Marshals,Action|Crime|Thriller,3.13
Hannibal,Horror|Thriller,3.13
Bad Boys II,Action|Comedy|Crime|Thriller,3.12
Entrapment,Crime|Thriller,3.12
Die Another Day,Action|Adventure|Thriller,3.11
Broken Arrow,Action|Adventure|Thriller,3.11
8MM,Drama|Mystery|Thriller,3.11
"Net, The",Action|Crime|Thriller,3.11
"Peacemaker, The",Action|Thriller|War,3.1
Wild Things,Crime|Drama|Mystery|Thriller,3.1
Firestarter,Horror|Thriller,3.1
Flightplan,Action|Drama|Thriller,3.09
"Green Hornet, The",Action|Comedy|Crime|Fantasy|Thriller|IMAX,3.09
"Thirteenth Floor, The",Drama|Sci-Fi|Thriller,3.08
Saw II,Horror|Thriller,3.08
Lord of the Flies,Adventure|Drama|Thriller,3.08
Cliffhanger,Action|Adventure|Thriller,3.08
Tequila Sunrise,Action|Drama|Romance|Thriller,3.08
"General's Daughter, The",Crime|Drama|Mystery|Thriller,3.07
Conspiracy Theory,Drama|Mystery|Romance|Thriller,3.07
Blade: Trinity,Action|Fantasy|Horror|Thriller,3.07
Flatliners,Horror|Sci-Fi|Thriller,3.07
Scream 2,Comedy|Horror|Mystery|Thriller,3.06
Final Destination,Drama|Thriller,3.06
Escape from L.A.,Action|Adventure|Sci-Fi|Thriller,3.05
Predator 2,Action|Sci-Fi|Thriller,3.05
Event Horizon,Horror|Sci-Fi|Thriller,3.04
"Quick and the Dead, The",Action|Thriller|Western,3.03
Beverly Hills Cop II,Action|Comedy|Crime|Thriller,3.0
Malice,Thriller,3.0
"Replacement Killers, The",Action|Crime|Thriller,3.0
"Nightmare on Elm Street 3: Dream Warriors, A",Horror|Thriller,3.0
xXx,Action|Crime|Thriller,3.0
AVP: Alien vs. Predator,Action|Horror|Sci-Fi|Thriller,3.0
Something Wicked This Way Comes,Children|Drama|Fantasy|Mystery|Thriller,3.0
Wes Craven's New Nightmare,Drama|Horror|Mystery|Thriller,3.0
"Bodyguard, The",Drama|Romance|Thriller,3.0
"Gift, The",Thriller,3.0
Stigmata,Drama|Thriller,3.0
"Pelican Brief, The",Crime|Drama|Mystery|Romance|Thriller,3.0
"One, The",Action|Sci-Fi|Thriller,3.0
"Blair Witch Project, The",Drama|Horror|Thriller,2.97
"Bone Collector, The",Thriller,2.96
Under Siege,Action|Drama|Thriller,2.96
"Cable Guy, The",Comedy|Thriller,2.96
"6th Day, The",Action|Sci-Fi|Thriller,2.95
Chain Reaction,Action|Adventure|Thriller,2.94
Lethal Weapon 4,Action|Comedy|Crime|Thriller,2.94
